Name,Population
Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),344
A. Bonifacio-Caguioa-Rimando (ABCR),1697
Alfonso Tabora,2079
Ambiong,2525
Andres Bonifacio (Lower Bokawkan),1307
Apugan-Loakan,2887
Asin Road,13145
Atok Trail,1550
Aurora Hill North Central,386
Aurora Hill Proper (Malvar-Sgt. Floresca),822
Aurora Hill South Central,959
Bagong Lipunan (Market Area),28
Bakakeng Central,9216
Bakakeng North,8780
Bal-Marcoville (Marcoville),821
Balsigan,2169
Bayan Park East,1125
Bayan Park Village,837
Bayan Park West (Bayan Park),1526
BGH Compound,1480
Brookside,2216
Brookspoint,2048
Cabinet Hill-Teacher's Camp,3444
Camdas Subdivision,1523
Camp 7,10969
Camp 8,2536
Camp Allen,2417
Campo Filipino,1321
City Camp Central,2024
City Camp Proper,1447
Country Club Village,1833
Cresencia Village,1881
Dagsian Lower,1391
Dagsian Upper,683
Dizon Subdivision,1712
Dominican Hill-Mirador,4810
Dontogan,5152
DPS Area,1121
Engineers' Hill,1947
Fairview Village,8429
Ferdinand (Happy Homes-Campo Sioco),1723
Fort del Pilar,3068
Gabriela Silang,3041
General Emilio F. Aguinaldo (Lower Quirino-Magsaysay),1982
General Luna Lower,617
General Luna Upper,1495
Gibraltar,7613
Greenwater Village,1724
Guisad Central,2424
Guisad Sorong,1679
Happy Hollow,2570
Happy Homes (Happy Homes-Lucban),1477
Harrison-Claudio Carantes,273
Hillside,1562
Holy Ghost Extension,3032
Holy Ghost Proper,1954
Honeymoon (Honeymoon-Holy Ghost),3316
Imelda R. Marcos (La Salle),1106
Imelda Village,1889
Irisan,30507
Kabayanihan,116
Kagitingan,151
Kayang Extension,1592
Kayang-Hilltop,147
Kias,5992
Legarda-Burnham-Kisad,670
Liwanag-Loakan,3554
Loakan Proper,10189
Lopez Jaena,1304
Lourdes Subdivision Extension,1263
Lourdes Subdivision Lower,245
Lourdes Subdivision Proper,656
Lualhati,1087
Lucnab,2120
Magsaysay Lower,1112
Magsaysay Private Road,999
Magsaysay Upper,152
Malcolm Square-Perfecto (Jose Abad Santos),31
Manuel A. Roxas,921
Market Subdivision Upper,1028
Middle Quezon Hill Subdivision (Quezon Hill Middle),3438
Military Cut-off,2245
Mines View Park,1409
Modern Site East,2887
Modern Site West,1060
MRR-Queen of Peace,2206
New Lucban,3305
Outlook Drive,1905
Pacdal,6269
Padre Burgos,2910
Padre Zamora,2513
Palma-Urbano (Cari�o-Palma),1003
Phil-Am,414
Pinget,6918
Pinsao Pilot Project,4520
Pinsao Proper,6903
Poliwes,3254
Pucsusan,711
Quezon Hill Proper,1464
Quezon Hill Upper,2659
Quirino Hill East,3654
Quirino Hill Lower,2123
Quirino Hill Middle,2635
Quirino Hill West,1708
Quirino-Magsaysay Upper (Upper QM),2776
Rizal Monument Area,131
Rock Quarry Lower,1489
Rock Quarry Middle,1310
Rock Quarry Upper,1708
Saint Joseph Village,4397
Salud Mitra,1742
San Antonio Village,1547
Sanitary Camp North,2891
Sanitary Camp South,2054
San Luis Village,7529
San Roque Village,878
Santa Escolastica,1337
Santo Rosario,1687
Santo Tomas Proper,7058
Santo Tomas School Area,1256
San Vicente,5062
Scout Barrio,1408
Session Road Area,121
Slaughter House Area (Santo Ni�o Slaughter),2214
SLU-SVP Housing Village,1949
South Drive,311
Teodora Alonzo,1090
Trancoville,3239
Victoria Village,3101
